Proyecto,Módulo,Desarrollador,Líneas de código,Número de bugs,Tiempo de desarrollo (horas),Costo (USD),Satisfacción del cliente,Antigüedad del desarrollador (años),Idioma de programación,Plataforma,Tipo de proyecto,Fase del proyecto,Tamaño del equipo,Tecnologías
Moore-Mack,deal,Sandra Holland,1543,33,256,4469,5,6,Kotlin,Mobile,Management System,Deployment,5,"art, meet, item"
"Williams, Adams and Martin",hour,Melissa Doyle,4222,23,37,85150,3,2,Kotlin,Mobile,Management System,Deployment,3,"purpose, nothing, enough"
Bryant-Black,bit,Juan Young,2447,12,274,32867,2,13,Kotlin,Web,Web site,Design,5,"beautiful, difference, but"
"Palmer, Owens and Farrell",poor,Jamie Aguilar,2361,37,469,11743,2,11,Python,Mobile,Web site,Deployment,8,"there, dream, place"
Mcdaniel-Montgomery,million,Arthur Jackson,1686,29,297,46114,5,6,Javascript,Web,Application,Testing,5,"perhaps, goal, dinner"
"Nielsen, Smith and Smith",catch,John Martin,1673,46,369,52123,2,4,Java,Desktop,Application,Development,10,"position, benefit, detail"
Bennett-Browning,stock,Patricia Jones,9866,1,104,87912,1,9,Javascript,Desktop,Web site,Development,8,"store, design, movement"
"Smith, Schultz and Anderson",picture,Patrick Boyd,643,17,430,33606,2,11,Python,Mobile,Application,Deployment,2,"campaign, property, responsibility"
Cunningham-Hogan,learn,Christopher Shelton,4409,37,204,89006,3,13,Java,Mobile,Management System,Testing,10,"everything, class, audience"
"Fitzgerald, Jennings and Robinson",as,Cody Hernandez,3243,15,491,81710,3,4,Javascript,Mobile,Management System,Deployment,1,"always, job, imagine"
Shepard-Alvarez,fill,Matthew Peterson,5339,18,202,96052,3,1,Java,Mobile,Application,Design,9,"her, coach, once"
Matthews PLC,music,Jesse Williams,516,25,354,29608,3,13,Javascript,Desktop,Web site,Deployment,6,"score, hair, support"
"Underwood, Villanueva and Sexton",animal,Eileen Dennis,2235,13,342,16572,3,13,Javascript,Mobile,Web site,Design,9,"brother, allow, respond"
"Carrillo, Lee and Jones",chair,Gregory King,9679,46,445,24687,3,7,Javascript,Mobile,Management System,Testing,10,"various, product, direction"
"Miller, Turner and Rice",happen,Tammy Brooks,8112,46,59,14603,1,3,Javascript,Desktop,Management System,Design,9,"soon, condition, back"
Anderson-Joseph,by,Michael Wilson,7144,7,147,44101,1,8,Javascript,Web,Application,Development,7,"various, training, material"
"Johnson, Coleman and Smith",training,Savannah Skinner,7482,34,377,87248,1,14,Javascript,Mobile,Web site,Design,9,"wear, camera, first"
"Jones, Miller and Garcia",brother,Mark Boyd,8653,13,260,24459,2,4,Python,Web,Management System,Design,9,"course, time, current"
Williams-Farrell,until,Jonathan Wilson,3278,4,298,90312,2,6,Kotlin,Desktop,Application,Deployment,8,"consider, include, executive"
Morris-Pollard,wish,Ricardo Martinez,7148,23,299,80387,2,8,Java,Web,Web site,Development,3,"again, season, structure"
Osborne Group,important,Michael Savage,6010,12,424,41624,1,8,Python,Web,Application,Deployment,7,"office, parent, them"
Russo LLC,computer,Diane Butler,7091,9,236,86599,4,9,Python,Web,Management System,Design,2,"stand, material, hand"
Boyd Inc,draw,Zachary Gates,1692,42,272,92216,1,11,Python,Mobile,Application,Design,10,"bar, section, father"
Logan-Turner,certain,Todd Bauer,9235,7,437,29657,5,15,Java,Mobile,Application,Deployment,1,"day, old, region"
Lam Inc,energy,Taylor Calhoun,7002,42,120,97627,2,11,Javascript,Mobile,Management System,Development,9,"then, fill, camera"
Gonzalez and Sons,magazine,Andrea Miranda,835,37,433,59509,2,2,Javascript,Desktop,Application,Testing,4,"sure, prepare, skin"
"Baldwin, Green and Lam",fill,Sheila Jones DVM,2356,31,361,63674,5,11,Java,Mobile,Application,Testing,1,"relationship, include, scientist"
"Ayers, Nunez and Andrews",new,Ariel Castro,6438,36,111,18564,3,5,Kotlin,Mobile,Management System,Testing,1,"best, drop, compare"
"Woods, Bryant and Chavez",board,Casey Callahan DDS,4283,23,198,45492,2,4,Java,Web,Management System,Development,7,"grow, his, commercial"
Sutton-Schmidt,charge,Mary Green,3128,37,22,26951,1,6,Java,Mobile,Management System,Development,1,"newspaper, political, audience"
"Morris, Carroll and Eaton",full,Jeffrey Archer,1831,1,493,73368,5,3,Javascript,Mobile,Management System,Testing,9,"their, single, particular"
Ramsey-Moore,hope,Jose Rasmussen,1489,19,289,71323,2,2,Kotlin,Mobile,Application,Design,6,"another, billion, customer"
Ryan Group,reach,Ruben Burns,5982,8,312,66789,4,1,Kotlin,Mobile,Application,Testing,1,"best, per, certain"
Decker-Bender,risk,Ms. Megan Carson,2907,35,84,80199,3,8,Python,Mobile,Management System,Design,3,"wind, whatever, morning"
"Torres, Ochoa and Fleming",each,Kelly Lewis,4208,16,13,39503,1,6,Java,Desktop,Web site,Testing,4,"us, our, mind"
Williams Group,dog,Daniel Mcdaniel,5933,31,124,18347,2,12,Python,Desktop,Application,Design,4,"think, everyone, hold"
Anderson-Palmer,game,Jennifer King,2271,27,334,98184,3,12,Java,Mobile,Management System,Testing,8,"authority, physical, situation"
"Wallace, Olson and Wong",career,Ian Nelson,7371,4,473,44038,5,2,Python,Web,Management System,Testing,4,"possible, language, coach"
"Mcgee, Jensen and Wallace",give,Brianna Nunez,4771,49,480,56415,2,8,Javascript,Desktop,Application,Testing,4,"a, around, result"
"West, Baker and Johnson",economy,Jose Castro,5920,7,486,43812,5,12,Javascript,Mobile,Management System,Testing,10,"raise, particular, hospital"
Gonzalez-Kennedy,your,Sherry Fowler,9252,37,116,25773,3,13,Java,Mobile,Management System,Design,1,"democratic, these, trip"
Nelson Inc,admit,Mark Murray,9155,38,203,25426,5,1,Javascript,Web,Web site,Testing,9,"cause, always, lawyer"
Patterson-Roberts,business,Donald Walters,562,2,115,12895,5,2,Javascript,Desktop,Management System,Design,3,"glass, bar, option"
"Morris, Horton and Dixon",study,Stephanie Arnold,9129,43,246,11915,5,10,Javascript,Mobile,Web site,Design,9,"agent, environmental, research"
Jimenez Group,pick,Michael Leonard,200,14,494,57152,4,4,Javascript,Mobile,Application,Development,8,"wrong, participant, situation"
"Meza, Knight and Sanchez",paper,Robert Johnson,6201,4,137,67889,3,14,Python,Web,Management System,Design,8,"adult, dog, cause"
"Pearson, Lee and Reed",resource,Heather Butler,4242,35,176,74656,1,9,Javascript,Desktop,Application,Deployment,6,"this, ready, much"
Lamb Inc,factor,Nicole Acosta,8524,1,155,13572,1,9,Java,Mobile,Web site,Development,5,"whose, building, wait"
Williams LLC,eat,Clinton Mccoy,5754,13,85,15593,3,13,Javascript,Mobile,Web site,Design,9,"movie, audience, level"
Vasquez-Knight,through,Angela Cannon,1758,0,351,61465,5,14,Java,Mobile,Application,Deployment,4,"before, imagine, soon"
Lowe-Mitchell,federal,Matthew Cole,6396,5,443,1387,5,6,Kotlin,Desktop,Management System,Testing,10,"challenge, cup, stock"
"Collins, Burns and Goodman",decide,Roberta Jones,261,49,416,94586,5,4,Python,Web,Application,Design,5,"set, house, beautiful"
Watts-Solomon,state,Priscilla Bush,4907,16,37,1986,1,12,Javascript,Mobile,Web site,Testing,3,"although, live, because"
"Berg, Koch and Cox",call,Angie Clark,4844,46,75,54320,1,5,Kotlin,Mobile,Management System,Design,5,"agent, ever, enter"
Case Ltd,seven,Christian James,299,11,361,92886,1,6,Kotlin,Web,Application,Development,8,"seek, what, food"
Craig-Gonzalez,since,Jose Haas,2442,20,489,4176,5,1,Python,Desktop,Application,Development,5,"sell, threat, argue"
Bell and Sons,forget,Katie Carpenter,5953,7,251,48438,5,9,Javascript,Web,Application,Testing,10,"collection, have, camera"
"Brown, Berry and Macdonald",month,Michael Conley,6512,31,297,60017,3,5,Javascript,Desktop,Management System,Testing,7,"behavior, send, first"
"Lin, Morris and Avila",lot,Barbara Arroyo,1678,43,33,76071,1,3,Python,Desktop,Management System,Design,8,"product, film, do"
Patton and Sons,agree,Alex Kennedy,3304,28,463,26583,4,2,Javascript,Desktop,Management System,Deployment,5,"ground, factor, response"
Smith-Fitzgerald,ahead,Kayla Thornton,2535,34,499,10079,1,8,Kotlin,Web,Management System,Development,1,"raise, practice, yet"
Harris-Mathews,speech,Diana Stone,773,34,461,42070,1,8,Python,Desktop,Application,Design,7,"civil, face, television"
"Hernandez, Diaz and Bartlett",modern,Jacob Henson,7863,27,175,33176,2,12,Javascript,Mobile,Web site,Testing,1,"way, teach, ten"
Berger-Rodriguez,suffer,Ruth Robbins,6538,39,11,93100,2,3,Kotlin,Desktop,Management System,Testing,10,"seven, class, not"
Romero Inc,party,Katherine Brown,9139,16,108,62963,4,1,Kotlin,Desktop,Web site,Deployment,10,"his, wish, development"
Cunningham-Shaw,story,Charles Stewart,8355,19,277,82272,4,15,Javascript,Desktop,Management System,Design,6,"physical, star, house"
Henry and Sons,red,Larry Green,3736,39,162,65656,2,12,Python,Web,Web site,Development,4,"break, shake, well"
Sharp and Sons,top,Brian Hampton,9907,32,355,97384,5,7,Kotlin,Web,Application,Deployment,10,"ball, energy, per"
Bradford Group,cover,Peter Davis,3355,29,394,32184,5,8,Javascript,Mobile,Application,Development,10,"different, away, per"
"Doyle, Jennings and Ortiz",yard,Chelsea Stewart,2099,43,48,86776,5,4,Kotlin,Mobile,Application,Development,5,"military, per, medical"
"Gray, Hurst and Martinez",discuss,Nathaniel Newton,2856,2,289,19087,1,13,Kotlin,Desktop,Web site,Testing,1,"home, left, state"
Johnston LLC,reach,Jennifer Doyle,1216,8,364,64162,1,13,Python,Web,Application,Testing,6,"general, participant, leg"
"Gregory, James and Howard",role,Diana Saunders,7218,34,345,30992,5,8,Python,Web,Application,Development,10,"pretty, bag, sing"
Perez Group,reason,Jason Kim,9504,17,452,99427,3,12,Java,Mobile,Application,Design,6,"produce, unit, third"
"Howell, Cooley and Duncan",including,Cynthia Johnson,7009,36,39,78839,3,11,Python,Web,Application,Development,5,"contain, Democrat, me"
Harris-Beck,carry,Janet Arnold,1421,39,209,51293,2,1,Python,Desktop,Management System,Design,6,"pay, low, item"
"White, Johnson and Velazquez",best,Timothy Johnson,1859,5,322,34247,4,7,Python,Desktop,Application,Deployment,9,"ready, account, service"
Beck Group,low,Robert Herrera,2029,16,347,5862,3,1,Kotlin,Web,Management System,Deployment,3,"throughout, cell, difference"
"Schaefer, Barnett and Holden",thank,Jamie West,2915,39,136,19775,4,1,Python,Desktop,Web site,Development,3,"away, officer, vote"
"Johnson, Allison and George",effort,Sean Quinn,4737,47,360,45324,5,2,Kotlin,Desktop,Web site,Design,10,"its, voice, whether"
Maynard Ltd,yard,Zachary Sanders,1971,19,430,91628,5,3,Python,Mobile,Management System,Deployment,1,"involve, social, nothing"
"Parker, Parrish and Tate",office,Craig Wolfe,9569,12,375,92730,4,3,Javascript,Web,Management System,Development,4,"idea, arm, place"
Robinson LLC,meet,Natalie Osborne,8765,23,20,43800,2,1,Kotlin,Mobile,Management System,Design,5,"nation, test, her"
Sweeney-Baker,home,Robert Clements,1657,20,128,80292,3,11,Kotlin,Mobile,Web site,Development,8,"pass, clear, analysis"
"Rodriguez, Barker and Stein",through,Patricia Wood,4015,25,130,40396,1,8,Javascript,Desktop,Web site,Testing,7,"fine, store, a"
Fisher Inc,themselves,Calvin Alvarez,5393,7,298,80619,3,2,Python,Desktop,Web site,Deployment,3,"campaign, foreign, never"
"Harrison, Shea and Chapman",to,Joshua White,1951,40,332,60185,2,7,Kotlin,Mobile,Application,Testing,2,"anything, develop, far"
"Smith, Sullivan and Liu",worker,Austin Simmons,5076,37,155,6559,4,13,Kotlin,Desktop,Application,Testing,2,"responsibility, coach, model"
Leon-Hodge,science,Tony May,1741,10,105,16441,2,11,Python,Mobile,Management System,Testing,1,"enough, page, them"
Spears Inc,song,Margaret Cook,2210,21,42,39974,3,6,Kotlin,Web,Management System,Design,2,"end, just, knowledge"
Dudley-Williams,friend,Kevin Morrow,7692,30,386,91319,1,2,Python,Mobile,Application,Development,9,"agent, compare, change"
Clark Ltd,look,Justin Murphy,7303,37,243,7455,3,11,Javascript,Mobile,Application,Testing,2,"sing, animal, money"
"Alvarado, Preston and Harris",region,Gregory Collins,6828,13,194,10347,1,7,Java,Mobile,Management System,Development,6,"through, unit, writer"
"Brown, Harris and Cole",upon,Heather Johnson,580,21,205,83082,2,6,Javascript,Web,Application,Design,8,"he, hear, can"
Collins Group,receive,Gilbert Brown,6094,11,17,99019,1,7,Python,Mobile,Web site,Development,5,"cover, outside, hope"
Yu-Crane,reach,Scott Ortiz,7978,37,284,1990,2,8,Java,Mobile,Application,Deployment,9,"improve, analysis, tonight"
Murphy PLC,seven,Michelle Allen,3116,39,148,21269,1,2,Java,Web,Web site,Deployment,9,"kid, student, participant"
"Hernandez, Morgan and Johnson",great,Elizabeth Davis,1970,21,203,32402,5,5,Kotlin,Mobile,Application,Design,4,"sort, ground, whom"
Hampton-Watkins,cause,Jonathan Russell,519,40,423,75954,4,11,Python,Desktop,Management System,Design,1,"site, news, rather"
"Reed, Morrison and Macdonald",material,Rachel Gutierrez,4760,15,309,41624,3,13,Python,Desktop,Management System,Testing,6,"sign, along, Congress"
Marquez-Zuniga,sign,Angela Perez,2410,3,494,33174,1,3,Kotlin,Mobile,Management System,Design,7,"position, community, official"
Nelson-Small,have,Spencer Parker,4562,29,389,35645,3,8,Python,Web,Management System,Design,8,"less, manage, behind"
Parker-Brown,start,Dr. Louis Walker,8472,17,108,17928,3,13,Kotlin,Desktop,Management System,Testing,6,"space, artist, voice"
Moreno-Wood,argue,Jeffrey Shelton,8605,37,262,70104,4,6,Kotlin,Desktop,Application,Testing,2,"participant, throughout, century"
Harvey PLC,all,Paul Carlson,3633,6,366,6764,1,13,Java,Web,Application,Development,6,"law, fill, call"
Henderson-Jordan,individual,Veronica Schneider,5834,19,65,41401,5,2,Kotlin,Mobile,Application,Development,4,"build, than, series"
"Love, Garcia and Hudson",wear,Laura Gray,3215,13,494,57788,5,1,Javascript,Mobile,Management System,Development,6,"century, someone, card"
"Nelson, Mejia and Mckay",season,Jeremy Myers,3154,43,333,45903,4,9,Kotlin,Desktop,Application,Testing,7,"drive, order, cell"
Sims-Black,fly,Joseph Long,6725,4,354,17547,3,15,Kotlin,Desktop,Web site,Testing,8,"off, say, interesting"
Edwards-Robinson,here,Jill Martinez,4991,33,467,91020,2,15,Python,Mobile,Management System,Testing,5,"glass, car, four"
"Hogan, Daniels and James",design,Nicole Serrano,7408,12,139,47631,2,1,Javascript,Web,Web site,Testing,4,"effect, research, exactly"
West-Brooks,past,Sandra Mathews,364,3,413,9463,3,7,Javascript,Desktop,Application,Design,3,"what, oil, do"
Huff-Campos,end,Carolyn Patel,8052,4,318,77028,3,12,Python,Desktop,Web site,Testing,3,"someone, top, pay"
Fuentes-Simmons,success,James Little,8942,37,244,1884,4,9,Python,Desktop,Web site,Deployment,7,"serve, style, just"
Walker-Carter,though,George Thomas,8871,13,338,72295,2,2,Kotlin,Desktop,Management System,Testing,5,"school, stay, memory"
Pitts Group,board,Desiree Hammond,701,40,420,60395,3,1,Java,Mobile,Management System,Development,6,"send, success, medical"
French-Gonzalez,bed,Vanessa Smith,3856,24,368,40883,1,10,Python,Desktop,Management System,Design,4,"benefit, within, though"
Hamilton Ltd,draw,Noah Morrison,739,17,42,59504,1,12,Javascript,Web,Web site,Design,2,"what, pull, help"
Wright-Walter,language,Sarah Hunter,9484,32,246,18173,4,10,Kotlin,Mobile,Web site,Design,2,"later, happy, manage"
Mcdaniel Inc,story,Jennifer Cantu MD,1946,12,143,66793,5,9,Python,Web,Web site,Development,5,"task, specific, moment"
Simpson PLC,three,Jordan Aguilar,6684,27,115,9733,3,9,Javascript,Desktop,Web site,Testing,10,"fact, different, minute"
Jones LLC,wear,Bill Howard,5988,49,423,34202,3,3,Kotlin,Desktop,Web site,Deployment,1,"leave, suffer, evening"
"Franklin, Shepard and Mays",theory,Stephanie Bradley,5642,46,475,1930,1,8,Python,Desktop,Application,Deployment,10,"matter, industry, amount"
"Kelly, Watkins and Pope",I,Darlene Mcknight,5371,33,224,1948,4,3,Python,Web,Application,Testing,10,"allow, me, use"
"Baker, Wright and Wilson",else,Shelia Martinez,9624,17,155,34315,2,1,Java,Desktop,Application,Testing,10,"environmental, at, matter"
Brown Inc,force,Brooke Thompson,2028,14,421,50025,3,8,Java,Desktop,Application,Development,4,"management, foreign, to"
Becker Ltd,everyone,Dominic Watts,3861,30,480,22210,2,1,Kotlin,Desktop,Web site,Development,2,"especially, hear, while"
Calderon LLC,whose,Tanner Gomez,2828,46,471,88101,3,1,Java,Web,Application,Deployment,5,"apply, idea, ok"
Simmons-Stark,agent,John Strong,8724,21,250,12805,3,10,Java,Web,Management System,Design,9,"unit, lot, two"
Rose-Welch,everything,Erin Goodman,4774,11,90,76088,5,12,Java,Web,Application,Development,8,"happen, page, treat"
Cooper PLC,artist,Julie Woods,2674,37,171,48581,2,12,Python,Desktop,Web site,Deployment,3,"system, listen, rule"
Logan-Robinson,with,Melinda Diaz,6822,37,65,33771,3,13,Java,Mobile,Web site,Deployment,3,"win, friend, look"
Snyder-Hardin,business,Mark Russell,1225,26,71,70892,2,14,Kotlin,Web,Management System,Deployment,4,"rule, car, mean"
Weaver-Patel,current,Paul Roy,3375,31,192,51307,2,14,Python,Mobile,Application,Design,10,"toward, which, time"
"Watson, Barnes and Cisneros",focus,Roger Richards,9749,27,389,12818,1,12,Java,Web,Application,Design,2,"green, employee, go"
"Wilson, Gibbs and Hale",kid,Timothy Dixon,3813,0,383,29857,3,8,Kotlin,Desktop,Management System,Development,5,"lead, four, citizen"
Wolfe LLC,heart,Casey Lam,4323,2,64,87210,5,7,Java,Web,Application,Deployment,6,"happen, wear, increase"
"Jordan, Williams and Clark",party,Kevin Ramos,2051,25,385,45533,5,9,Kotlin,Web,Management System,Development,1,"position, personal, lot"
Atkinson-Turner,officer,Jose Payne,8300,29,381,11987,5,9,Java,Mobile,Management System,Design,1,"still, theory, personal"
Rogers Ltd,suggest,Tracy English,3095,12,477,73085,3,9,Java,Web,Management System,Design,10,"opportunity, result, positive"
White-Hill,pull,Jennifer Scott,4015,25,73,40888,1,3,Python,Web,Management System,Deployment,6,"ask, those, home"
"Valencia, Jenkins and Barrera",executive,Lisa Mason,7415,23,49,83319,2,1,Javascript,Desktop,Management System,Deployment,10,"hotel, few, opportunity"
"Castillo, Fritz and Elliott",at,Sharon Norton,1197,38,227,19477,3,6,Java,Web,Web site,Deployment,1,"continue, news, moment"
"Johnson, Clark and Martin",age,Stephanie Dorsey,4254,29,222,6788,5,13,Python,Desktop,Management System,Design,8,"determine, yes, idea"
Jones Ltd,run,Jennifer Bowers,3763,10,412,72464,5,14,Python,Web,Web site,Development,5,"draw, hear, economic"
"Haynes, Wright and Gutierrez",attention,Kevin Nielsen,8547,48,117,95039,3,7,Java,Web,Management System,Deployment,8,"more, system, floor"
Nguyen-Stevens,ask,Lisa Harrell,1086,47,284,20879,1,9,Java,Mobile,Application,Design,6,"factor, none, agent"
Phillips Ltd,staff,Jennifer Mclean,5161,33,470,3255,4,10,Java,Mobile,Application,Design,8,"which, letter, seem"
"Blanchard, Richardson and Moore",avoid,Karen Gonzalez,7623,22,446,15790,1,10,Javascript,Mobile,Management System,Design,3,"seem, might, year"
"Perkins, Gibson and Terrell",company,Mark Gomez,8548,20,189,7759,1,3,Python,Desktop,Application,Design,1,"worker, the, center"
Lopez-Weaver,could,Susan Mason,2299,8,410,59093,2,14,Python,Desktop,Management System,Testing,2,"meet, nothing, education"
"Perez, Hutchinson and Thompson",movement,Vanessa Simmons,9291,8,88,40692,4,13,Java,Web,Application,Deployment,10,"process, simply, year"
Jones-Larson,body,Brian Miller,185,6,151,4521,2,15,Java,Desktop,Management System,Development,1,"chair, wide, scene"
Wells Inc,police,Tanya Parker,4941,20,380,97789,1,10,Kotlin,Mobile,Web site,Testing,6,"with, maybe, low"
Johnson Group,minute,Barry Barnes,5135,11,481,25453,5,3,Python,Desktop,Application,Deployment,8,"put, plan, late"
"Williamson, Snyder and Martin",thousand,Joshua Brown,146,22,339,55812,3,2,Kotlin,Desktop,Application,Deployment,3,"case, nothing, those"
"Hughes, West and Austin",purpose,Kristina Palmer,1425,41,131,42944,1,2,Kotlin,Mobile,Management System,Testing,2,"any, small, lawyer"
Mccall Ltd,station,Michelle Cox,7810,35,471,15591,4,6,Javascript,Mobile,Web site,Deployment,10,"respond, power, add"
"Wallace, Beard and Miller",college,Heather Hopkins,7422,8,11,50161,1,8,Java,Web,Web site,Design,5,"run, stand, race"
Nelson Ltd,fund,Jessica James,900,4,297,97443,3,8,Java,Web,Application,Testing,4,"capital, sea, full"
Harris Group,when,James Scott,1923,44,106,79998,4,9,Kotlin,Mobile,Web site,Testing,5,"everyone, kitchen, but"
"Anderson, Gray and Thompson",pay,John Prince,6539,5,231,42461,4,7,Javascript,Web,Web site,Deployment,4,"model, choice, each"
Cruz-Burgess,amount,Kathryn Henderson,2997,10,316,31193,1,6,Kotlin,Desktop,Management System,Deployment,8,"someone, although, meeting"
Paul LLC,none,Joseph Morris,922,44,300,10374,4,2,Javascript,Desktop,Application,Deployment,7,"than, population, century"
Howard-Munoz,not,Jennifer Booker,908,29,323,35933,3,7,Kotlin,Mobile,Application,Testing,10,"key, almost, name"
Johnson PLC,cut,Bill Wells,921,31,18,73399,3,11,Javascript,Desktop,Application,Development,8,"price, arrive, hot"
Chavez-Peters,it,John Wood,5564,11,337,28250,2,8,Kotlin,Mobile,Management System,Testing,6,"worker, paper, southern"
"Smith, Reynolds and Rojas",difference,Valerie Townsend,3189,7,155,76278,1,5,Python,Mobile,Web site,Design,8,"meet, get, stand"
Davis Ltd,medical,Susan Wang,9442,6,203,37619,1,11,Javascript,Desktop,Web site,Deployment,10,"sea, resource, about"
Thompson Inc,alone,Kristin Mathews,8216,6,403,58619,2,12,Javascript,Web,Web site,Testing,8,"push, strong, have"
